[2026-08-09 11:04:39,460] line no:19-root-INFO-Initiate the data ingestion.
[2026-08-09 11:04:50,878] line no:65-root-INFO-Performed train-test split on dataframe.
[2026-08-09 11:04:50,878] line no:66-root-INFO-Exited split_data_as_train_test method of Data Ingestion class.
[2026-08-09 11:04:50,880] line no:77-root-INFO-Exporting train and test file path.
[2026-08-09 11:04:50,998] line no:21-root-INFO-Data initiation completed successfully.
[2026-08-09 11:04:51,004] line no:25-root-INFO-Initiate the data validation.
[2026-08-09 11:04:51,043] line no:36-root-INFO-Required number of columns: 31
[2026-08-09 11:04:51,043] line no:37-root-INFO-Data frame has 31 columns.
[2026-08-09 11:04:51,043] line no:101-root-INFO-Train data contains all columns.

[2026-08-09 11:04:51,043] line no:36-root-INFO-Required number of columns: 31
[2026-08-09 11:04:51,043] line no:37-root-INFO-Data frame has 31 columns.
[2026-08-09 11:04:51,043] line no:104-root-INFO-Test data contains all columns.

[2026-08-09 11:04:51,046] line no:53-root-INFO-Missed columns: 0 | Type mismatches: 0
[2026-08-09 11:04:51,046] line no:109-root-INFO-Data types in train data are matched.

[2026-08-09 11:04:51,048] line no:53-root-INFO-Missed columns: 0 | Type mismatches: 0
[2026-08-09 11:04:51,048] line no:112-root-INFO-Data types in test data are matched.

[2026-08-09 11:04:51,136] line no:27-root-INFO-Data validation completed successfully.
[2026-08-09 11:04:51,137] line no:62-root-INFO-Entered the initiate_data_transformation method of DataTransformation class
[2026-08-09 11:04:51,137] line no:64-root-INFO-Starting data transformation process
[2026-08-09 11:04:51,207] line no:49-root-INFO-Enter get_data_transformer_obj method of transformation class
[2026-08-09 11:04:51,207] line no:53-root-INFO-Initiate KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-08-09 11:04:51,342] line no:41-root-INFO-Entered the save_object method of MainUtils class
[2026-08-09 11:04:51,365] line no:45-root-INFO-Exited the save_object method of MainUtils class
[2026-08-09 11:04:51,368] line no:33-root-INFO-Data transformation completed successfully.
